layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0006213103646318571,4.412732348054197e-05,0.0006213103646318571,4.412732348054197e-05,5.41751690784395e-05,4.4060454006164665e-06,0.9999830024904666,0.9999824993587544,0.07923745101176669,0.07927034243530925
1,0.02620236344185876,0.002748290525841441,0.02620236344185876,0.002748290525841441,0.010924244279149242,0.0010958759099863316,0.9951363251406194,0.9950741668172892,0.5522004621795094,0.5263302248640465
2,0.03591244615034074,0.007404614269275813,0.03591244615034074,0.007404614269275813,0.03191130394206454,0.0036164395020852917,0.9923050418892393,0.9922672851931619,0.5973264575263046,0.5628460976442351
3,0.027550003127561645,0.005978853530926073,0.027550003127561645,0.005978853530926073,0.06157823252506942,0.009283971754945022,0.9780580455335923,0.9777793341690388,0.7724299648491461,0.7461271598554149
4,0.048344198852132605,0.014163081970936565,0.048344198852132605,0.014163081970936565,0.15204170141179635,0.017776229369218927,0.9363122630506374,0.9357841218836819,0.7168792534568204,0.6757050262012123
5,0.07559534379954354,0.014681717451506149,0.07559534379954354,0.014681717451506149,0.27330345166258685,0.02371597949877875,0.7920687434123423,0.7904012572812279,0.6573363219234286,0.6112093058586804
6,0.0040081794939129094,0.002109675708415786,0.0040081794939129094,0.002109675708415786,0.007150556476161094,0.0014128555038057228,0.8261685397760349,0.8249556853878547,0.9923947812573781,0.9888724103691618
