layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.000744705301267694,9.855762668306728e-05,6.0000850088027526e-05,5.9015360814218335e-06,0.9999560869989382,0.4630875940297936,0.4635420816039505
1,0.014544678660811172,0.0012117763764589505,0.0017146487854987577,0.00019745872068179573,0.9983561096101516,0.8555916296666753,0.841046951005864
2,0.022777047477335628,0.00162687164619181,0.0033432970824363905,0.0004301655522487492,0.9960717233413915,0.8298509067662568,0.8070738592889212
3,0.013335614953924439,0.001371582263600634,0.005261018495403563,0.0004331489176197183,0.9930236526914649,0.8435637762981882,0.8302356388195682
4,0.008433201982874564,0.0025938656730160018,0.006501234031594678,0.0007379600808772429,0.988982874398789,0.8424656887413609,0.8343943104349945
5,0.007694841143661225,0.0016038232536800653,0.006512798088196821,0.0005926664421243515,0.9903691220276353,0.8451839120488698,0.8378742435792267
6,0.009100580005005672,0.0015837579674321828,0.007045226176259701,0.0006935306219166396,0.9899828248528758,0.8449814766150692,0.8360676361257064
7,0.008982899447038442,0.001673994739507186,0.008319785903634887,0.0007177301670565991,0.9902116409611832,0.8470525300028784,0.838473927336785
8,0.011327616652950066,0.0020117360725496096,0.0100408753851555,0.000933378242526895,0.9892857584724976,0.8432615356061455,0.8322819238530228
9,0.010817813046985803,0.0019068719020136945,0.01339966991061153,0.0013277114701643244,0.9855675169161755,0.8388210802588754,0.8288071416173262
10,0.013124893620428384,0.0020539690938610553,0.01813178071896064,0.0017633973135309173,0.9837714003197775,0.8257914812291896,0.8137503218770432
11,0.014578382829757968,0.0021483689841264846,0.02302802747788734,0.002637484343464574,0.9812667871342887,0.8150191028945329,0.801965484691399
12,0.017314533404238865,0.0028578536885675186,0.030479947650239002,0.003767413025422868,0.9785477981154398,0.8008941012023435,0.7853172995650645
13,0.017472338820310632,0.003013009312167708,0.03682181421424673,0.004704891228799481,0.9773240283327999,0.7874783833240357,0.7726431295264301
14,0.018696012894815296,0.0035968532953416367,0.04450885529584421,0.005986950209091081,0.9746307847513932,0.7782349853700135,0.7628813338234817
15,0.01692413721057683,0.0028316446924670107,0.05379239671309814,0.007882077369688791,0.9705066262204725,0.7700392114357313,0.7601669350311223
16,0.019259259298930194,0.0031781103398847107,0.06301704554721724,0.009575548802154126,0.9661900472364997,0.7673761757104807,0.7549864286116649
17,0.021173357938987263,0.003916895787230269,0.06702178566316988,0.010563526211696391,0.9607319706231853,0.7707619534432631,0.7561869517245123
18,0.029400792536085702,0.005463832613427315,0.0729487125813073,0.01162422574739888,0.9523278190813491,0.7797185078786725,0.7545519372497129
19,0.03460507996909832,0.00588225133922686,0.08120576777670556,0.012793111230634641,0.9489219005233078,0.797705626515896,0.7662386510684572
20,0.03718600635649209,0.00632409963522871,0.07851941425508342,0.012147599386715818,0.9401291843207991,0.8166760532803146,0.7822864137508674
21,0.029771275452293335,0.004461454537660838,0.07051242095718577,0.010391605343322383,0.9308158247559258,0.8395953681576842,0.8135218313100397
22,0.026345994225223258,0.005709970204656641,0.059366243792086604,0.00931491447472979,0.9101396323886197,0.8754709905402216,0.853775567213613
23,0.03601998154914988,0.00717142131421316,0.05528308110660145,0.011847435771984523,0.7584788854530473,0.9072392137892994,0.8787224444788174
24,0.1787151217438862,0.08162020463110857,0.09691684383929096,0.045427660308469134,0.0787986821951998,0.821849020435598,0.9556287374690177
