layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,0.0006218569369514351,3.5075394068610356e-05,5.713925083750237e-05,4.5135028214893776e-06,0.9999833718193145
1,0.020354066800894823,0.0035720474305677417,0.014176047799098094,0.0009785160335283782,0.9959041559825094
2,0.030801616021827898,0.007604184761808637,0.032270775477984286,0.003786798657686314,0.9861345098412775
3,0.03531633873050076,0.003973614437128725,0.054950398044799356,0.005185335406676232,0.9707527462404221
4,0.035487250099838705,0.0029204178559215804,0.10653249670397089,0.005645828335255124,0.9585137273991833
5,0.032448523109318624,0.003200448486008203,0.1054642565245135,0.005213298141305322,0.9584281593921653
6,0.049606452598863655,0.0054070371441605125,0.1505285903436483,0.008408967992045002,0.8961943281662057
7,0.06308822769290694,0.01046993019841592,0.1882366070038326,0.01348573031198781,0.8761081037835793
8,0.06545468814092384,0.006104024370426549,0.18206214172393018,0.014921229500924331,0.8897132587000911
9,0.06357687494787888,0.010921492057856289,0.24644738828826984,0.012837742643484975,0.8841878024689471
10,0.0758300838321586,0.00923984306899814,0.33240989851267455,0.016785567713084787,0.8495441472689174
11,0.12043367083678069,0.011772938753611224,0.4218270988914193,0.022302596002216526,0.7754437662814045
12,0.0034265166476587067,0.0005525250407370371,0.009083392182132752,0.0008027678775566984,0.786951109282904
