layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,5.340872075004759e-05,4.405299754868335e-06,8.710675129540866e-06,9.040103902698868e-07,0.9999992842826441
1,0.0015598890911823278,0.00018724140343973807,0.00027351399190390967,1.4904617251039001e-05,0.9952797109384248
2,0.0008953393447555344,9.870360133120641e-05,0.00025882349019966703,1.787133553404834e-05,0.9895283369015972
3,0.000491441169277079,6.288786108271614e-05,0.00047276247478835284,8.136916796233702e-05,0.9762232409874628
4,0.0007861765710077574,0.00011484006450000002,0.0004503794217579608,7.780229319967129e-05,0.9506222475066228
5,0.0008930132485637952,0.0001742778204064979,0.000587542969246824,8.394606260496743e-05,0.9610728679513068
6,0.0009056797678783266,0.000146776316995793,0.0011252342711326618,0.0001689515367794895,0.9391271824418214
7,0.0008276731984886725,9.756374647682577e-05,0.0008376173951627144,0.00010022643953561843,0.9603976251350049
8,0.0008546645701135111,0.00015443189583229434,0.0020418456545560886,0.00035667127072831485,0.9348702358267861
9,0.001284668906268468,0.00021268021761407536,0.0021468131250178156,0.00028273827330044455,0.9695815998063345
10,0.003607414991432712,0.00047429231268136536,0.00596274194049786,0.0007252362432436994,0.9389946230396156
11,0.006427210508806322,0.0008692357224593898,0.01338279525510993,0.0015685679701360102,0.9442090335575275
12,0.05853486385229617,0.008575942682982517,0.18760078175021017,0.031195256204122414,0.9132630501466333
