layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.006765562275961807,0.0006222979423301676,0.0014095387163456368,0.00014776466571305525,0.9993460490306079,0.35530718597673167,0.34905062642049556
1,0.018370425139291883,0.0006812789267357002,0.005589431268705376,0.0005062529042373737,0.9989318442234385,0.36714430589667646,0.34882054783732036
2,0.023808020891593965,0.0019265690570746668,0.01556794903087987,0.0019689657224799904,0.9981690095132889,0.38309347303312563,0.359336553947432
3,0.026471036742934488,0.00425421307104782,0.0268365936306317,0.002726049685678142,0.9959983635122425,0.39575941684227495,0.3694466235451238
4,0.035983137150555726,0.0061137420472640105,0.04120818277184358,0.004867655552346801,0.9929188055839284,0.41693487634909066,0.3810754681939963
5,0.026707392171744122,0.005472602627447209,0.0535367374830474,0.00720699674266085,0.989752808024162,0.42477643193881776,0.39982507774659803
6,0.030071123660874645,0.0057109761832123155,0.06443104419279347,0.009074360076884084,0.9862433495507925,0.4199428893484104,0.3923027255905528
7,0.04790978513146737,0.007965760841884292,0.07249098717147026,0.010595610490465113,0.9825842853949625,0.42617356670873063,0.37944950909769254
8,0.0641818642681321,0.007878270251188145,0.08010033151274351,0.01061636411032166,0.9784009168543251,0.4364642063960608,0.3737645423540548
9,0.07929448544353211,0.0086869542043849,0.0903155260926592,0.010101095706769527,0.974981559914209,0.45706582757133596,0.37925054040228284
10,0.08513485917298148,0.007853026782896311,0.09599185290006505,0.009843737904365869,0.9720121901218529,0.4852028221705371,0.4016009957502364
11,0.08681421533822684,0.00876023477088426,0.10644204365633722,0.009909022418115858,0.96530230497657,0.4855697819278987,0.4016788925202458
12,0.0913106292986601,0.007504106787428819,0.12060504929712228,0.010355087450475054,0.961611751133494,0.4867912347370079,0.3990046512503416
13,0.10237077294523492,0.007890203721350185,0.1384662751112074,0.010504240399899814,0.9522076119589025,0.4950941648022516,0.3971666613162732
14,0.09450114698278635,0.010691426439564075,0.14491956256083266,0.010453277306935894,0.9485768791616022,0.5023574856240576,0.41375865944486234
15,0.10770157338082889,0.011217388846323501,0.15779637399480456,0.011516702663021263,0.9396129855777962,0.5082743422249426,0.40645846199948404
16,0.10205126032511895,0.01499010011542849,0.1691055322243685,0.012324933335342205,0.9266483980771133,0.5379941320153294,0.4439583460273586
17,0.09494099896449269,0.013850860567467305,0.1586571319045302,0.013335935932326766,0.9164047756788151,0.5528566736573943,0.46851469277918223
18,0.09568730139056347,0.012468169451183467,0.15160612423430622,0.013286052460748262,0.9126752521322146,0.5766428143453706,0.49260152804397705
19,0.07930203752188243,0.011020943047920588,0.14303869450331808,0.011359934989239285,0.9100514416453034,0.5987887902469791,0.5355938441607992
20,0.08164649482561326,0.01334268037729521,0.16122231889751543,0.01434707593268217,0.8924869208374182,0.585636524835695,0.527485163646946
21,0.08072724375111963,0.014147528203925551,0.20927476771072245,0.02149231646226612,0.8678333742335183,0.5663971079052084,0.5224563351320335
22,0.07596174463715644,0.012200908856970397,0.24650015709913503,0.028647759752479397,0.8533187622170584,0.573609364277887,0.5488881734647639
23,0.08705874089679055,0.010581226847136901,0.2996848440195863,0.03456942871705666,0.8351220499288031,0.587247038878078,0.5812120602108556
24,0.11536852440183647,0.01802929007104702,0.23705014914290415,0.039010607628476135,0.8617153924386534,0.637878544524001,0.6402868546323257
