slug,label,metric,layer,depth_norm,n_seeds,diff_mean,diff_std,ci95_lo,ci95_hi,excludes_zero,diff_seed_42,diff_seed_43,diff_seed_44
gptneo,GPT-Neo-125M,relational,0,0.0,3,-1.3149094391932837e-06,1.225220174050553e-06,-4.358525078749565e-06,1.728706200362998e-06,False,-3.733467610383994e-08,-1.4273732335426558e-06,-2.4800204079333558e-06
gptneo,GPT-Neo-125M,relational,1,0.08333333333333333,3,0.00027008255538846666,0.00042393528971416646,-0.0007830310851322962,0.0013231961959092294,False,0.00045059229197110006,0.0005738877156641,-0.0002142323414698001
gptneo,GPT-Neo-125M,relational,2,0.16666666666666666,3,0.0004089360368550999,0.00018910103154638714,-6.081696694016926e-05,0.0008786890406503691,False,0.0005371539402517999,0.0004978934990702,0.0001917606712433
gptneo,GPT-Neo-125M,relational,3,0.25,3,0.00014196039964576665,8.826597983223271e-05,-7.73044495200767e-05,0.00036122524881161,False,0.00018764636321610007,0.00019801911458019994,4.021572114099996e-05
gptneo,GPT-Neo-125M,relational,4,0.3333333333333333,3,0.00011828516389103336,5.753335616669667e-05,-2.463561584622124e-05,0.00026120594362828795,False,0.00012858315570140005,0.00016997410070080006,5.6298235270899966e-05
gptneo,GPT-Neo-125M,relational,5,0.4166666666666667,3,0.00013888385413259998,5.607876301933307e-05,-4.235159120350904e-07,0.00027819122417723505,False,0.00016760592270390008,0.00017478323911019993,7.426240058369996e-05
gptneo,GPT-Neo-125M,relational,6,0.5,3,0.00023009860216103334,3.294812574304456e-05,0.00014825092047124447,0.0003119462838508222,True,0.0002646804458575,0.00022654271052370003,0.00019907265010189995
gptneo,GPT-Neo-125M,relational,7,0.5833333333333334,3,0.0002761045208097667,4.968009944902799e-05,0.00015269231224492944,0.00039951672937460394,True,0.0003327126428793,0.00023975355552019993,0.00025584736402980003
gptneo,GPT-Neo-125M,relational,8,0.6666666666666666,3,0.0002821611358668667,3.880056282333862e-05,0.00018577519452027337,0.00037854707721346004,True,0.00031606550891640005,0.0002398445295479,0.0002905733691363
gptneo,GPT-Neo-125M,relational,9,0.75,3,0.00042142964349049995,3.5786129509588166e-05,0.00033253196961815064,0.0005103273173628492,True,0.0004049258989620001,0.00039687348506589994,0.00046248954644359996
gptneo,GPT-Neo-125M,relational,10,0.8333333333333334,3,0.0006593779687014666,0.00014116618497951965,0.0003087017249699189,0.0010100542124330144,True,0.0005389953542746001,0.0008147475895661001,0.0006243909622636996
gptneo,GPT-Neo-125M,relational,11,0.9166666666666666,3,0.0014333887248338666,0.00019059598634184674,0.0009599220474538343,0.001906855402213899,True,0.0016100108271401995,0.0012313661758351002,0.0014587891715263004
gptneo,GPT-Neo-125M,relational,12,1.0,3,0.007006231408337338,0.0006675775272097691,0.005347876897478518,0.008664585919196157,True,0.006306818770366804,0.007636608755789802,0.007075266698855408
gptneo,GPT-Neo-125M,per_token,0,0.0,3,-2.013791220855663e-06,4.609881248360452e-07,-3.1589492064299517e-06,-8.68633235281374e-07,True,-1.482317940808191e-06,-2.3052604411336107e-06,-2.2537952806251867e-06
gptneo,GPT-Neo-125M,per_token,1,0.08333333333333333,3,-2.6168850762733355e-05,2.576545623792949e-05,-9.017379226382679e-05,3.783609073836007e-05,False,-2.3681256207700027e-05,-1.7374140560000176e-06,-5.3087882024500016e-05
gptneo,GPT-Neo-125M,per_token,2,0.16666666666666666,3,3.892490446140001e-05,1.0103975953224755e-05,1.3825236757375905e-05,6.402457216542411e-05,True,3.0360988301700027e-05,3.63450234969e-05,5.006870158560001e-05
gptneo,GPT-Neo-125M,per_token,3,0.25,3,0.000138152769985,7.302879360178882e-05,-4.3260810244834865e-05,0.00031956635021483486,False,0.00021064963260759997,0.0001392052552488,6.460342209859999e-05
gptneo,GPT-Neo-125M,per_token,4,0.3333333333333333,3,-2.7524077130699993e-05,6.833733157017069e-05,-0.00019728341960454737,0.0001422352653431474,False,1.1664069638200034e-05,1.219633128099999e-05,-0.0001064326323113
gptneo,GPT-Neo-125M,per_token,5,0.4166666666666667,3,-3.888337037589999e-05,3.8559560533585566e-05,-0.00013467062884589957,5.690388809409959e-05,False,-1.206305525829998e-05,-2.151459469640002e-05,-8.307246117299997e-05
gptneo,GPT-Neo-125M,per_token,6,0.5,3,-8.292938038183327e-05,6.585570260930903e-05,-0.0002465240147674324,8.066525400376591e-05,False,-0.00015645439012899995,-6.297545285509983e-05,-2.935829816140003e-05
gptneo,GPT-Neo-125M,per_token,7,0.5833333333333334,3,-4.376354454643331e-05,1.753261852783794e-05,-8.73169834171681e-05,-2.1010567569852462e-07,True,-3.9921884079599946e-05,-6.289843723139999e-05,-2.84703123283e-05
gptneo,GPT-Neo-125M,per_token,8,0.6666666666666666,3,-0.0002874749618784666,0.0003942447406414976,-0.0012668331897652389,0.0006918832660083056,False,7.893357714530008e-05,-0.0007046397033110001,-0.00023671875946969971
gptneo,GPT-Neo-125M,per_token,9,0.75,3,0.0001107739775995335,7.433528125419027e-05,-7.38850978775679e-05,0.0002954330530766349,False,0.0001879420131442001,3.9639157121700366e-05,0.00010474076253270004
gptneo,GPT-Neo-125M,per_token,10,0.8333333333333334,3,0.00041889818331153323,0.000150414073733778,4.524891037146052e-05,0.0007925474562516059,True,0.0005903299091842996,0.0003090417714914995,0.00035732286925880055
gptneo,GPT-Neo-125M,per_token,11,0.9166666666666666,3,0.0010957932471024334,0.00024225386492161472,0.0004940012854333799,0.0016975852087714868,True,0.0013746613601360001,0.0009373495425277992,0.0009753688386435009
gptneo,GPT-Neo-125M,per_token,12,1.0,3,0.0016835144352821592,0.002210278920176057,-0.003807122783813982,0.0071741516543783,False,0.0019427334050043932,0.0037527539787257924,-0.0006449440778837079
gptneo,GPT-Neo-125M,cka_change,0,0.0,3,-1.2777535710976432e-07,8.853802413772377e-08,-3.4771600179414494e-07,9.216528757461631e-08,False,-2.673174537282108e-08,-1.6482040099408124e-07,-1.9177392496239065e-07
gptneo,GPT-Neo-125M,cka_change,1,0.08333333333333333,3,2.3329423410397194e-05,0.0004055853319639198,-0.0009842003950539526,0.0010308592418747469,False,0.00032807679553226166,0.00017892690628074082,-0.0004370154315818109
gptneo,GPT-Neo-125M,cka_change,2,0.16666666666666666,3,0.0006123837689866093,0.001259465993214745,-0.002516303201425224,0.0037410707393984426,False,0.0006844869032112122,0.0018342493062936116,-0.000681584902544996
gptneo,GPT-Neo-125M,cka_change,3,0.25,3,-0.0013790550125863203,0.002260724439388492,-0.006995005848346897,0.004236895823174256,False,-2.2941529151387918e-05,-0.003988844695443139,-0.000125378813164434
gptneo,GPT-Neo-125M,cka_change,4,0.3333333333333333,3,0.00033971179475448626,0.004696368040213591,-0.011326713162199088,0.01200613675170806,False,0.0027455290725991732,-0.005072104682117939,0.003345710993782225
gptneo,GPT-Neo-125M,cka_change,5,0.4166666666666667,3,0.00170771478521059,0.0038675538314985984,-0.00789982153983956,0.01131525111026074,False,0.004787285105637307,-0.002632991227276116,0.0029688504772705793
