slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
pythia70m,Pythia-70M,42,0,0.0,0.0007036702129026,0.0782141395099381,0.0783498253744239,1.843436035115638,0.00038171664191128773,neither
pythia70m,Pythia-70M,42,1,0.16666666666666666,0.0287462904416077,0.5526267190046443,0.5243120906245675,0.9230611903707882,0.03114234542789139,neither
pythia70m,Pythia-70M,42,2,0.3333333333333333,0.0413394586278134,0.6003742505351344,0.5625094734724738,0.8371162759923918,0.04938317389517477,neither
pythia70m,Pythia-70M,42,3,0.5,0.0267227587062811,0.7737008446262856,0.7518794293223354,0.47441972605137894,0.05632725040481783,neither
pythia70m,Pythia-70M,42,4,0.6666666666666666,0.0429308282057985,0.7182302625132522,0.6965983631615404,0.5851713743252074,0.07336453915795924,neither
pythia70m,Pythia-70M,42,5,0.8333333333333334,0.1026192654229915,0.6575478879426493,0.6132443525610988,0.7292077594962519,0.14072706178261526,neither
pythia70m,Pythia-70M,42,6,1.0,0.0052887115285468,0.9922805857292456,0.9874669867766512,0.020252427494103165,0.2611396352406,both
pythia70m,Pythia-70M,43,0,0.0,0.0007078840509369,0.0780570164705987,0.0781163529700151,1.8438266305593862,0.0003839211557119878,neither
pythia70m,Pythia-70M,43,1,0.16666666666666666,0.0344188019719113,0.5500383271356848,0.5157398955136936,0.9342217773506216,0.036842217561573305,neither
pythia70m,Pythia-70M,43,2,0.3333333333333333,0.0446691000831684,0.5969928749200115,0.5535731803949684,0.8494339446850201,0.05258690256336791,neither
pythia70m,Pythia-70M,43,3,0.5,0.0376961901033162,0.7719172345449459,0.7350336944796636,0.4930490709753905,0.07645525024262285,neither
pythia70m,Pythia-70M,43,4,0.6666666666666666,0.0577246230744193,0.7157898391586175,0.667520549936738,0.6166896109046445,0.09360401416482587,neither
pythia70m,Pythia-70M,43,5,0.8333333333333334,0.0807391901301372,0.6560217875167585,0.5990142441371465,0.744963968346095,0.10837999361148622,neither
pythia70m,Pythia-70M,43,6,1.0,0.0048146779745912,0.9923851344033487,0.9880398425260464,0.01957502307060488,0.24596027076061186,both
pythia70m,Pythia-70M,44,0,0.0,0.0006444012306174,0.0769623477461673,0.0770132169793821,1.8460244352744506,0.00034907513589959395,neither
pythia70m,Pythia-70M,44,1,0.16666666666666666,0.0236752417648025,0.5486691854558127,0.5254722962350402,0.925858518309147,0.025571122689500667,neither
pythia70m,Pythia-70M,44,2,0.3333333333333333,0.0411899363155132,0.593896801053695,0.5538630491424449,0.8522401498038602,0.048331372706382006,neither
pythia70m,Pythia-70M,44,3,0.5,0.038674266983403,0.7704393693506304,0.7328557407264629,0.49670488992290673,0.077861659444113,neither
pythia70m,Pythia-70M,44,4,0.6666666666666666,0.0404606532142665,0.7137189483700414,0.6851295294636668,0.601151522166292,0.06730524954584441,neither
pythia70m,Pythia-70M,44,5,0.8333333333333334,0.1132977433642695,0.6538038864027631,0.5819332663211991,0.7642628472760378,0.14824447344010225,neither
pythia70m,Pythia-70M,44,6,1.0,0.0056465244390209,0.9922809875310036,0.9871057517100068,0.020613260758989504,0.2739267942631752,both
gpt2,GPT-2-124M,42,0,0.0,0.0003541730423024,0.713135673850923,0.7132470801566301,0.573617245992447,0.0006174379253357797,neither
gpt2,GPT-2-124M,42,1,0.08333333333333333,0.0174538176466634,0.7406681951396435,0.723221874175589,0.5361099306847675,0.03255641548062694,neither
gpt2,GPT-2-124M,42,2,0.16666666666666666,0.0107262399890752,0.6678497179055056,0.6606258473439485,0.6715244347505459,0.015972970504133217,neither
gpt2,GPT-2-124M,42,3,0.25,0.0143355128389851,0.6543444195552327,0.6654993325087843,0.6801562479359828,0.021076793578663672,neither
gpt2,GPT-2-124M,42,4,0.3333333333333333,0.0118746275144164,0.6436527096295303,0.641310302474744,0.7150369878957259,0.01660701154686012,neither
gpt2,GPT-2-124M,42,5,0.4166666666666667,0.0126258126329327,0.6564175993335681,0.6578367737229759,0.685745626943456,0.018411801893960567,neither
gpt2,GPT-2-124M,42,6,0.5,0.0151184654438834,0.6337311586762656,0.6325036424349615,0.733765198888773,0.02060395541622725,neither
gpt2,GPT-2-124M,42,7,0.5833333333333334,0.016332621349485,0.6292488959607508,0.6309260039643028,0.7398251000749463,0.022076327699385247,neither
gpt2,GPT-2-124M,42,8,0.6666666666666666,0.0187308327008673,0.6446186421041766,0.6390032746036702,0.7163780832921531,0.026146574187178893,neither
gpt2,GPT-2-124M,42,9,0.75,0.031490465326094,0.6684304062808529,0.642576791200806,0.6889928025183412,0.045705071534844835,neither
gpt2,GPT-2-124M,42,10,0.8333333333333334,0.040092680008641,0.721098326509535,0.6840517964566376,0.5948498770338274,0.06739966091707042,neither
gpt2,GPT-2-124M,42,11,0.9166666666666666,0.034352330357504,0.826991681226459,0.7957449903683663,0.3772633284051746,0.09105663808545462,neither
gpt2,GPT-2-124M,42,12,1.0,0.0145032530932879,0.9837372231089524,0.9708745642911992,0.04538821259984849,0.3195378769627142,both
gpt2,GPT-2-124M,43,0,0.0,0.0003751694130174,0.7129100340908578,0.713097173210383,0.5739927926987591,0.0006536134561088385,neither
gpt2,GPT-2-124M,43,1,0.08333333333333333,0.0038855346506327,0.741645327825908,0.7429060573442041,0.515448614829888,0.007538161009347229,neither
gpt2,GPT-2-124M,43,2,0.16666666666666666,0.0263413997052302,0.669123255054916,0.6437108269930488,0.6871659179520352,0.03833339084065117,neither
gpt2,GPT-2-124M,43,3,0.25,0.0124130027082377,0.6560755266669702,0.6534293769899946,0.6904950963430352,0.017976959972603443,neither
gpt2,GPT-2-124M,43,4,0.3333333333333333,0.0157673696117084,0.6454268094476094,0.6392893459585822,0.7152838445938083,0.022043514236872345,neither
gpt2,GPT-2-124M,43,5,0.4166666666666667,0.0149070548494929,0.6581639674070323,0.6587016655748892,0.6831343670180785,0.02182155600597737,neither
gpt2,GPT-2-124M,43,6,0.5,0.0177079082965952,0.635630408966618,0.6342881216246454,0.7300814694087365,0.024254701753950995,neither
gpt2,GPT-2-124M,43,7,0.5833333333333334,0.0185965542056048,0.6315683539722065,0.6390280243955575,0.7294036216322362,0.02549556055670525,neither
gpt2,GPT-2-124M,43,8,0.6666666666666666,0.0182986098800414,0.6474026894659979,0.6476876501030836,0.7049096604309185,0.02595880139996276,neither
gpt2,GPT-2-124M,43,9,0.75,0.0324829803952811,0.6714277837633813,0.6456287689849334,0.6829434472516853,0.04756320677209769,neither
gpt2,GPT-2-124M,43,10,0.8333333333333334,0.0444676904140079,0.7243930318415119,0.6827794870032442,0.5928274811552439,0.07500949572606459,neither
gpt2,GPT-2-124M,43,11,0.9166666666666666,0.0438992758937774,0.8283776327579396,0.7860429158955727,0.38557945134648774,0.11385273707008008,neither
