slug,label,hf_id,tier,n_blocks,layer,normalized_depth,anisotropy,saturated
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,8,0.26666666666666666,0.6254330836062683,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,9,0.3,0.6418672362120599,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,10,0.3333333333333333,0.6490338086998974,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,11,0.36666666666666664,0.6704431304662365,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,12,0.4,0.6453252991557876,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,13,0.43333333333333335,0.6188187200801579,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,14,0.4666666666666667,0.6577176387587766,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,15,0.5,0.6545030296563856,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,16,0.5333333333333333,0.6878143831598138,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,17,0.5666666666666667,0.7178765383317508,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,18,0.6,0.7053789839326682,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,19,0.6333333333333333,0.7052562508801381,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,20,0.6666666666666666,0.7417221031447615,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,21,0.7,0.7285496287459555,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,22,0.7333333333333333,0.7282249975319353,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,23,0.7666666666666667,0.7297899170518247,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,24,0.8,0.726368966888863,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,25,0.8333333333333334,0.7673984453052045,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,26,0.8666666666666667,0.786785701915542,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,27,0.9,0.7758351958665356,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,28,0.9333333333333333,0.8051154599197539,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,29,0.9666666666666667,0.8261515619930465,0
smollm2135m,SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,A,30,30,1.0,0.7607810459509905,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,0,0.0,0.08302078166017401,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,1,0.08333333333333333,0.38648774536675684,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,2,0.16666666666666666,0.5146583456796169,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,3,0.25,0.5309996868615128,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,4,0.3333333333333333,0.5761679239806246,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,5,0.4166666666666667,0.6266118509524753,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,6,0.5,0.6521490914705876,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,7,0.5833333333333334,0.6766098619340136,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,8,0.6666666666666666,0.7715116690468065,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,9,0.75,0.6734916990897356,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,10,0.8333333333333334,0.6933053019015346,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,11,0.9166666666666666,0.6966966445069572,0
pythia,Pythia-160M,EleutherAI/pythia-160m,reference,12,12,1.0,0.9899398711457001,1
gpt2medium,GPT-2-medium,gpt2-medium,B,24,0,0.0,0.4776095720027372,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,1,0.041666666666666664,0.8637527903950633,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,2,0.08333333333333333,0.8375996161795538,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,3,0.125,0.8494696248869046,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,4,0.16666666666666666,0.8468814467897035,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,5,0.20833333333333334,0.8500836164140383,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,6,0.25,0.8490582922182022,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,7,0.2916666666666667,0.8518640472790222,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,8,0.3333333333333333,0.8491334852870939,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,9,0.375,0.8467769100920419,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,10,0.4166666666666667,0.8345184030549093,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,11,0.4583333333333333,0.8239780685170974,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,12,0.5,0.8106960740305814,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,13,0.5416666666666666,0.7978187618532071,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,14,0.5833333333333334,0.7892186830221424,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,15,0.625,0.7824430075993132,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,16,0.6666666666666666,0.7812529495960473,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,17,0.7083333333333334,0.7842705727544957,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,18,0.75,0.7915943585569967,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,19,0.7916666666666666,0.8088990264696895,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,20,0.8333333333333334,0.8255943470569319,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,21,0.875,0.8473960384642675,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,22,0.9166666666666666,0.8808097195729345,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,23,0.9583333333333334,0.9067498951002678,0
gpt2medium,GPT-2-medium,gpt2-medium,B,24,24,1.0,0.7144666645857868,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,0,0.0,0.07639008958641308,0
