slug,label,metric,layer,depth_norm,n_seeds,diff_mean,diff_std,ci95_lo,ci95_hi,excludes_zero,diff_seed_42,diff_seed_43,diff_seed_44
gptneo,GPT-Neo-125M,relational,0,0.0,3,-1.3497148771159739e-06,1.176831088816835e-06,-4.273125365206076e-06,1.5736956109741277e-06,False,-1.3381539978026214e-07,-1.432190774982145e-06,-2.4831384565855146e-06
gptneo,GPT-Neo-125M,relational,1,0.08333333333333333,3,0.00026962511416426664,0.0004239479162780849,-0.0007835198924800958,0.0013227701208086292,False,0.00044972897888899996,0.0005737860483472999,-0.00021463968474349994
gptneo,GPT-Neo-125M,relational,2,0.16666666666666666,3,0.0004089271504625,0.00018910479681165222,-6.0835206770208834e-05,0.0008786895076952088,False,0.0005370261957125999,0.0004980233105441,0.0001917319451308
gptneo,GPT-Neo-125M,relational,3,0.25,3,0.0001419781738807333,8.829682403147596e-05,-7.736329652363892e-05,0.00036131964428510555,False,0.00018767201387919998,0.00019806403461099996,4.019847315199997e-05
gptneo,GPT-Neo-125M,relational,4,0.3333333333333333,3,0.00011834743884216669,5.759564501647085e-05,-2.4728074975833496e-05,0.0002614229526601669,False,0.00012884883771820002,0.00016996983314010005,5.62236456682e-05
gptneo,GPT-Neo-125M,relational,5,0.4166666666666667,3,0.0001385420177710667,5.585740316597508e-05,-2.1546391397429007e-07,0.0002772994994561077,False,0.00016660019610640004,0.00017480809198740005,7.421776521940001e-05
gptneo,GPT-Neo-125M,relational,6,0.5,3,0.00022973327911490003,3.231907520259128e-05,0.0001494482455952481,0.00031001831263455194,True,0.0002634858883546001,0.0002266444198380001,0.00019906952915209992
gptneo,GPT-Neo-125M,relational,7,0.5833333333333334,3,0.0002758811382312667,4.915562365842695e-05,0.0001537717997567616,0.00039799047670577184,True,0.0003318850904198001,0.00023988270406500006,0.00025587562020899996
gptneo,GPT-Neo-125M,relational,8,0.6666666666666666,3,0.00028170100774986664,3.80595005709718e-05,0.00018715596709113237,0.0003762460484086009,True,0.0003145044162423,0.00023997188995289996,0.0002906267170544
gptneo,GPT-Neo-125M,relational,9,0.75,3,0.00042075289198749985,3.6307702520680006e-05,0.00033055955892886615,0.0005109462250461336,True,0.0004027186167506998,0.0003969931635287,0.00046254689568309983
gptneo,GPT-Neo-125M,relational,10,0.8333333333333334,3,0.0006579621300719998,0.00014347456835490065,0.00030155154414449064,0.001014372715999509,True,0.0005341561563376998,0.0008152014290945999,0.0006245288047836998
gptneo,GPT-Neo-125M,relational,11,0.9166666666666666,3,0.0014287476583040668,0.00018356601319357722,0.000972744402334243,0.0018847509142738907,True,0.0015953659481577004,0.0012319693972509997,0.0014589076295035003
gptneo,GPT-Neo-125M,relational,12,1.0,3,0.007010319835151065,0.0006591873526642852,0.005372807673288849,0.00864783199701328,True,0.006320956646314803,0.007634486243683798,0.007075516615454594
