layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0024467804103950807,0.000352972896629084,0.0002749587985313077,3.3713978043398833e-05,0.999891279160177,0.2868765890316668,0.2851462596389052
1,0.008154686737292286,0.0012425524402677342,0.015996754431457667,0.0015882657231018045,0.9972278515828257,0.4421486695948512,0.4468728403777913
2,0.019177204652319015,0.0023473807871573845,0.031674406426751255,0.0012684519230806018,0.9884844900465034,0.47177633901122845,0.4580099393419544
3,0.039231264088655335,0.004714592820555384,0.04577592542460894,0.0015867681273535046,0.9831082784496489,0.46802282524337374,0.4316605740569826
4,0.04349078644236033,0.005001351224678299,0.056958002881483415,0.0029524102648158055,0.9788464524170486,0.47423569857858433,0.43394171664454834
5,0.04915105909833131,0.0057319017041942075,0.069346540157345,0.0032257623527679317,0.9691489934110425,0.48557384771829426,0.44094836599558773
6,0.04890120980358855,0.005891768223042972,0.08587410968174926,0.004023764753227229,0.9585451180839416,0.47750152875264557,0.43613487008885005
7,0.03879431771398895,0.004091772312526833,0.10335466378874683,0.005111420289828436,0.949158638592996,0.4821831655513969,0.4594120351820635
8,0.035504316208788037,0.0026237017110609185,0.13732383862079886,0.007844182156927143,0.9374199151307445,0.4809470573485526,0.4797225129058845
9,0.041244171663404404,0.0032373521983352738,0.1766345651470051,0.010198774752877093,0.9188670085210953,0.4753037306735761,0.48306120274886793
10,0.05727734240393838,0.007437730859058527,0.22416375509044867,0.012354962755068042,0.8976156000272708,0.4717675829259213,0.5152519069842997
11,0.08082259765458814,0.0067703491945187945,0.29649291520332255,0.013798139690782496,0.8604175698751478,0.49478371341332733,0.5421104447048911
12,0.0969692734656721,0.012898417036726615,0.34164670992366647,0.01656120930798893,0.8562441764419316,0.5060468955904801,0.5782594274600972
