layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0010989885324846223,9.65428525984887e-05,6.883389791803823e-05,9.04447081809675e-06,0.9999970572971639,0.16306815265148256,0.16212474077155542
1,0.007540201871932434,0.00141725656027127,0.00038393411020739556,6.54895679368521e-05,0.9995409612435997,0.35236961776346154,0.34499735557542816
2,0.012243979474551907,0.0015257031762284357,0.0005678883043198615,9.324432683183515e-05,0.9994851040336534,0.5689646850362895,0.5567234540770364
3,0.012036746183505542,0.0015173287855612073,0.0010020815785885477,0.00019886437119921564,0.9993632709038646,0.5801176650145363,0.5681033159729669
4,0.00973756686974002,0.002760754800264667,0.0018419572138961278,0.00033977239296745405,0.9990613288879281,0.5846619332749367,0.5751698846762209
5,0.008989112341248471,0.0026558375334301155,0.0028025048431325156,0.0006229979587063628,0.9979114541136037,0.5785584138062365,0.5700716179312617
6,0.012100379963580188,0.002475733749045816,0.003989457403364534,0.0010912478211022702,0.996030508834116,0.5856306891455355,0.5740277985279737
7,0.010751534798123439,0.002247534896501993,0.005159232996839053,0.0015214174849783595,0.9930849309207475,0.5895989723882756,0.5798880836434339
8,0.008506454658148335,0.0017333701048052822,0.005967895280737088,0.0015820927246093235,0.9929447654542682,0.6187202250026503,0.6122474259320976
9,0.009286031420027095,0.00188905037528019,0.006573480048106975,0.00165631076574701,0.9929640159970142,0.636919785828529,0.6298770770988531
10,0.01160585159146252,0.0019057796526846802,0.007117818857077146,0.0016472001957434207,0.9924545517994163,0.6462764546485261,0.636914372350198
11,0.011341976955016526,0.0020457355616876065,0.0076669021622386615,0.0017076905297053488,0.9909712752995253,0.6655874589089061,0.6570315592101763
12,0.010944908566979494,0.002093085826086204,0.00849623731166688,0.001953866682177553,0.9909678694694649,0.6426244919690592,0.6361191659185826
13,0.011736893129916983,0.0019508791385151871,0.009994394417569299,0.002318904750534364,0.9900011675194437,0.6132203636622566,0.6092224553004332
14,0.012508303208914004,0.0018658518689641207,0.011756703333288,0.002764034646477528,0.9882313474189584,0.6505061825728609,0.6568716781222054
15,0.012933543297777591,0.003368082518671929,0.013182597354977715,0.003021253578489457,0.9882921474362507,0.6491507970019696,0.6437302482187134
16,0.011398588212072434,0.0019482493230688022,0.015211024331305122,0.003430871379861638,0.9860117085923585,0.6813454098713562,0.6812939537823616
17,0.01463135783737204,0.00311748129533532,0.01802953856651739,0.00418759032471759,0.985422440459403,0.711029768676973,0.6997830486601874
18,0.01367822195063057,0.0027671101716334307,0.021166220268179697,0.004950870763283987,0.9837506294305103,0.6994297335191414,0.6906387610114482
19,0.02161213421401295,0.003846151257465038,0.02394254467543661,0.0057966799060047884,0.9821547341104984,0.6990805697945246,0.6803597742676069
20,0.02167685899537131,0.003543879500114613,0.032420282830157354,0.008268908672745556,0.9768604135978639,0.7357741268799091,0.7173338037482233
21,0.017554552515268988,0.002739239554953218,0.0343399270456892,0.008864720638978411,0.9751395106354138,0.7241748873771086,0.713025143928672
22,0.016155754146900226,0.0026322639909912224,0.03944350191914379,0.009742480109943876,0.9768062067509033,0.7256640676418773,0.7207424412691396
23,0.024783886332201046,0.003977055653275696,0.047889258717904774,0.010950775540762216,0.9708968194891934,0.7249268943130154,0.7064857640661194
24,0.030767228404181845,0.004754274321915396,0.04942319665823729,0.011555746777030473,0.9621556333198821,0.7117287998921512,0.6901517313141401
25,0.02650367240752543,0.0054157520412895085,0.04147803882298515,0.01071592358962321,0.9642507029167963,0.7537220635832322,0.7376526568268935
26,0.02853351042055538,0.005947224499549681,0.03972823969723445,0.010190866767496849,0.9655499185435507,0.772463111883318,0.7515628366308207
27,0.03154142309412912,0.006376828418884889,0.04573852464823374,0.01131111296193257,0.9650963342490851,0.7616012518545276,0.7379657137223198
28,0.039307949679504225,0.005920746812347016,0.0503356229811055,0.012376665253707935,0.9525688388672371,0.7913505805607339,0.7566541029787048
29,0.037503217129848686,0.006058459570750456,0.05037992954482632,0.011901616870370661,0.9505469897111574,0.8121354148761647,0.7785148570590261
30,0.16360831851322477,0.020278825668708284,0.1600480198838742,0.04031240799512815,0.901303042269755,0.7404710554405705,0.5777944601716472
