layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,5.5159817632404136e-05,5.159074364002351e-06,9.087872007570702e-06,1.0685532285431552e-06,0.9999990769227238
1,0.0013520787753941157,0.0002251930821287299,0.00024485033828819917,1.406250764034362e-05,0.99462988618001
2,0.0010236183587413782,0.00012236824196159727,0.00024806202867539497,1.602865262502335e-05,0.9892487689676895
3,0.0005557321516279883,7.177809898305538e-05,0.0005761567080231996,7.967347089275148e-05,0.9702270491181779
4,0.0008811451843002499,0.00012717351262597087,0.00049078225737794,7.615989040290949e-05,0.9393268549311666
5,0.0010223954344078423,0.0001816832462854617,0.0006821178960519477,7.84775307658308e-05,0.9497013817463767
6,0.0010414990189988658,0.00015871392288534407,0.001086550597125293,0.00015070241796401787,0.9390546029101995
7,0.0009415276196796475,0.00011248710401794208,0.0008690562895736059,0.0001046355858588911,0.9561195243457208
8,0.000987688220897459,0.00017605897686196284,0.002339151521875075,0.00046757457416728686,0.9240912136500173
9,0.001453957365938604,0.00025438701084654113,0.0022753496077877714,0.00031919270752689,0.961207373928711
10,0.003971715423280569,0.0005250731921880269,0.006235979385391272,0.0007552434090036372,0.9278145676921583
11,0.007527608245119155,0.0012597626556001462,0.013904532153560445,0.0016343655300923687,0.9367530459618129
12,0.05815517941004959,0.00944730083505515,0.1864508304623635,0.029231602679455664,0.9118442127848555
