layer,l3_mean,l3_std,per_token_mean,per_token_std,cka,anisotropy_base,anisotropy_ft
0,0.0023074483115689544,0.000302331707033453,0.0002569894916523843,3.6402199669763445e-05,0.9998870771645884,0.2828618335502385,0.2812621676152368
1,0.017058535914416997,0.00232385410350609,0.016448138486962468,0.0015713486890120284,0.9962665736772595,0.4403496495103966,0.4571431052513194
2,0.01415239958679923,0.0015113666451853777,0.029997637719666004,0.0022245451959497357,0.9884591633176357,0.46886083285659746,0.46505076785248073
3,0.01960261490421636,0.002088178831835889,0.04871550740291801,0.0033719629805754685,0.9797471157229407,0.4644221140907471,0.45567078261355903
4,0.022276377176952834,0.003508256973676396,0.05863386380479326,0.004770887207241581,0.9753635114566712,0.47038450008223637,0.4592163774660748
5,0.027544852656235547,0.003768212354118844,0.07317507077506753,0.007303958829213612,0.9618691787324647,0.48123962085297445,0.46825262197245526
6,0.026705195985538072,0.003566957251902116,0.09748102663438044,0.010300823152127023,0.9490413821211545,0.4722344469543039,0.47455594974694176
7,0.03214818768600773,0.0034317551529736054,0.11728675937837714,0.00977644021032319,0.9372960017041266,0.47601620325874494,0.4908546375534494
8,0.03751052384847568,0.003719365275767381,0.152548220901954,0.011539625435249987,0.9224729109318404,0.4725688819040078,0.48015041878656106
9,0.04872938354067696,0.004786179578651861,0.19297109522193964,0.014900849487585483,0.8994640467968195,0.46600119092024483,0.4738190552918038
10,0.06107494319484639,0.005623949604065514,0.24345139202931237,0.021193603739059964,0.8739449978997564,0.46058937258074845,0.4846010096193612
11,0.0889794545231531,0.007989354137997706,0.3213399569572152,0.02583076222092848,0.8367073820741091,0.4835537536449726,0.5132185481400878
12,0.10267271698909568,0.012472757821404981,0.37445910230013213,0.026396650515515666,0.8315525520253769,0.49433328624791606,0.5482565525413647
