layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,0.0006773520074186924,4.571096663119193e-05,6.330183175764508e-05,5.833200592169706e-06,0.9999806455369684
1,0.027758443814013316,0.0047070158928099156,0.017083391337991742,0.0010545620026231899,0.9959457236751534
2,0.042724812654831065,0.008085487413483793,0.04564756011057947,0.005030647285225519,0.9841020073930199
3,0.034333082511597966,0.0021136396208841666,0.06496960367506069,0.006552200545387949,0.9628303653424252
4,0.04538021200986341,0.006374220850087848,0.11363399475529956,0.008612488845480794,0.9512180034385488
5,0.04329636854485186,0.005264418880637445,0.11780385175381428,0.006510093716449776,0.9400518571926879
6,0.05668229557381503,0.009783279129257399,0.14721142658030265,0.01120829444233236,0.894473010397554
7,0.06956186359203177,0.015549447755188578,0.22712818355215006,0.024629887349455894,0.847485992149503
8,0.09394186975318007,0.012176859447781064,0.23754640819162462,0.02841219093799698,0.8863444555120947
9,0.06639563506220394,0.01023115535133054,0.2732839941618915,0.01931352556376496,0.882210820704655
10,0.10843746202913149,0.01000769153685404,0.3298953628913283,0.016345758581783436,0.8734303088201242
11,0.12668419763259717,0.01172536645355042,0.4044390917954481,0.018484806799011773,0.816129559382794
12,0.003586851675225828,0.0006176434841983656,0.008674293525498299,0.0006227055438332819,0.7924033079212087
