layer,relational_mean,relational_std,l3_mean,l3_std,per_token_mean,per_token_std,cka,cka_unbiased,anisotropy_base,anisotropy_ft
0,0.0005640540954553046,6.891688737582704e-05,0.0005640540954553046,6.891688737582704e-05,5.7112388553420834e-05,7.538721088216935e-06,0.9999926157777383,0.9999923660458563,0.07542446373687937,0.07506330086752781
1,0.01157380553596768,0.002191919333783784,0.01157380553596768,0.002191919333783784,0.0002790885772000053,4.084797482358564e-05,0.9994234383462162,0.9994110153242134,0.4958592688989336,0.48428799772698755
2,0.00761308927570325,0.0018493262605061929,0.00761308927570325,0.0018493262605061929,0.00046342042750707085,8.470393377180679e-05,0.9993745667694529,0.9993620028191214,0.6674253477600984,0.6598385612764238
3,0.004049271137039687,0.001096004543277424,0.004049271137039687,0.001096004543277424,0.0007204678753472413,0.00016122436935603568,0.9993083497328384,0.9992943968984922,0.6380797835480695,0.6344926256314695
4,0.003082471157925414,0.0006248851151348662,0.003082471157925414,0.0006248851151348662,0.0010855175180315905,0.0002752531571760171,0.9991448415167268,0.999126070207912,0.6503224336911012,0.649038782246133
5,0.005424881365057315,0.0015691012225291846,0.005424881365057315,0.0015691012225291846,0.0013705581050194406,0.0003945299345846481,0.9992021657961276,0.9991827333359462,0.6455976607381467,0.640854551491388
6,0.008075817391410788,0.001556176991450139,0.008075817391410788,0.001556176991450139,0.001825275881595835,0.0005639060515244832,0.9990340461776056,0.9990104032009843,0.6176604738398266,0.610172411015279
7,0.009699030205925186,0.0022686043157003734,0.009699030205925186,0.0022686043157003734,0.002391798135988573,0.0006859178138794018,0.9986058945368935,0.9985711110426282,0.6069870405533984,0.5977702030668051
8,0.009869303192734272,0.001613144103810443,0.009869303192734272,0.001613144103810443,0.0031999355321453453,0.0010078739267573669,0.99816872420736,0.9981216194581797,0.5580130589863757,0.5494954748157148
9,0.008488879681137524,0.0014846548918549434,0.008488879681137524,0.0014846548918549434,0.005013872418283454,0.0012777653592563026,0.9959084294700423,0.9957915646184425,0.6034716621634393,0.5991109085987142
10,0.008148082504921775,0.00206545780395512,0.008148082504921775,0.00206545780395512,0.005437974153096493,0.0012991228964208301,0.996765447161674,0.9966859755641819,0.6204137072104026,0.6165335489378612
11,0.011621851472461444,0.0033487063519349876,0.011621851472461444,0.0033487063519349876,0.006195335827903518,0.0014460493935538653,0.9962386179598394,0.9961518595696834,0.6234279820553739,0.6133719917743463
12,0.010755737008872255,0.003242539535004054,0.010755737008872255,0.003242539535004054,0.006653139483646793,0.00153226982072015,0.995209754254777,0.9951048930071723,0.629500586855507,0.6212186893932267
