layer,l3_mean,l3_std,per_token_mean,per_token_std,cka
0,5.299991710384522e-05,4.469908610097009e-06,9.088499675904696e-06,9.65161505288548e-07,0.9999995288893908
1,0.0010842602521953506,0.00021377352919467823,0.00023312492766293743,1.537641599909914e-05,0.9952382300556465
2,0.0007694122420050866,0.00010698291304055074,0.0002826637720645158,1.4833258879930983e-05,0.98989978774719
3,0.0004292148952389047,6.615904061029894e-05,0.0003912014754204887,4.518058337821459e-05,0.9719319769748315
4,0.0007671279318363347,0.00011919172673475455,0.00037732224375467365,4.6841115270189696e-05,0.9408408705762251
5,0.0008727722832457482,0.00015036276264265337,0.0005621965537151096,5.3684068432553864e-05,0.951330885584669
6,0.0009689672084237826,0.00014327849450085803,0.0011202048385071006,0.00014075542895751833,0.9389686025313492
7,0.0008786481504261387,9.402313536292457e-05,0.0008275720186081026,0.00010449664859485892,0.9574772540785897
8,0.0009392907432542446,0.00014186940725697208,0.002076227002660699,0.00043094835788825203,0.9287052343734835
9,0.0014293187132090423,0.0001887835568853853,0.0020931074403327905,0.00029732763721756323,0.9665972467557424
10,0.00383529527196314,0.0004095413031708959,0.0056868319941632325,0.0007423863442706903,0.9407471282418305
11,0.007244621818412518,0.0008434403751325815,0.012848124933297855,0.0016330172703801088,0.9414858294765974
12,0.05837444674677934,0.008897946251101378,0.18049208232314426,0.030063928897129368,0.9103032322192378
